# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "data/yeast.gtf" "-o" "outputs/final_counts_matrix.txt" "outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam" 
Geneid	Chr	Start	End	Strand	Length	outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam
NM_001178239.1	chrI	225460	226863	+	1404	0
NP_009310.1	chrM	13818	16322	+	2505	0
NP_009309.1	chrM;chrM	13818;16435	13986;18830	+;+	2565	0
NP_009308.2	chrM;chrM;chrM	13818;16435;18954	13986;16470;19996	+;+;+	1248	0
NP_009307.2	chrM;chrM;chrM;chrM	13818;16435;18954;20508	13986;16470;18991;21935	+;+;+;+	1671	0
NP_009306.1	chrM;chrM;chrM;chrM;chrM	13818;16435;18954;20508;21995	13986;16470;18991;20984;23167	+;+;+;+;+	1893	0
NP_009305.1	chrM;chrM;chrM;chrM;chrM;chrM;chrM;chrM	13818;16435;18954;20508;21995;23612;25318;26229	13986;16470;18991;20984;22246;23746;25342;26701	+;+;+;+;+;+;+;+	1605	0
NP_009311.2	chrM;chrM	24156;24906	24870;25255	+;+	1065	0
NP_009312.1	chrM	27666	27812	+	147	0
NP_009313.1	chrM	28487	29266	+	780	0
NP_009318.1	chrM;chrM	36540;37723	36954;38579	+;+	1272	0
NP_009317.1	chrM;chrM;chrM	36540;37723;39141	36954;37736;40265	+;+;+	1554	0
NP_009316.1	chrM;chrM;chrM;chrM	36540;37723;39141;40841	36954;37736;39217;42251	+;+;+;+	1917	0
NP_009315.1	chrM;chrM;chrM;chrM;chrM;chrM	36540;37723;39141;40841;42508;43297	36954;37736;39217;41090;42558;43647	+;+;+;+;+;+	1158	0
NP_009319.1	chrM	46723	46953	+	231	0
NP_009320.1	chrM	48901	50097	+	1197	0
NP_009324.1	chrM	61022	61729	+	708	0
NP_009326.1	chrM	73758	74513	+	756	0
NP_009327.1	chrM;chrM;chrM	74495;75663;75904	75622;75872;75984	+;+;+	1419	0
NP_009328.1	chrM	79213	80022	+	810	0
NM_001178945.1	chrV	262052	263698	-	1647	0
NM_001179004.1	chrV	390590	393712	-	3123	6
NM_001179059.1	chrV	523369	525759	+	2391	0
NM_001184302.1	chrV	264	4097	-	3834	0
NM_001180855.1	chrV;chrV	4185;4602	4322;5114	-;-	651	0
NM_001178891.1	chrV	4464	5114	-	651	0
NM_001178890.1	chrV	5345	5713	-	369	0
NM_001178888.1	chrV	7230	7553	-	324	3
NM_001178887.1	chrV	13720	14415	+	696	0
NM_001178886.1	chrV	16355	17845	+	1491	8
NM_001178885.1	chrV	19589	21097	+	1509	0
NM_001178884.1	chrV	21537	23231	-	1695	0
NM_001270743.1	chrV	25646	25978	-	333	2
NM_001178882.1	chrV	26189	26776	-	588	0
NM_001178881.1	chrV	26667	27206	+	540	2
NM_001178880.3	chrV	27657	29543	+	1887	6
NM_001178879.1	chrV	29797	31239	-	1443	0
NM_001178878.1	chrV	31694	33466	-	1773	12
NM_001178877.3	chrV	34407	36254	+	1848	2
NM_001178876.1	chrV	36535	39537	-	3003	0
NM_001178875.1	chrV	40046	41953	-	1908	4
NM_001180854.3	chrV	42400	42624	-	225	0
NM_001178873.1	chrV	43252	44925	+	1674	16
NM_001178872.1	chrV	45020	45721	-	702	2
NM_001178871.3	chrV	47168	48373	+	1206	6
NM_001178870.1	chrV	48471	51539	-	3069	9
NR_132163.1	chrV	52150	52320	-	171	0
NM_001178869.1	chrV	52721	53218	-	498	40
NM_001178868.3	chrV	53901	56102	-	2202	2
NM_001178867.1	chrV	56571	58100	+	1530	4
NM_001178866.1	chrV	58378	59148	+	771	4
NM_001178865.3	chrV	59670	60851	-	1182	14
NR_132164.1	chrV	61352	61433	+	82	0
NR_132165.1	chrV	61699	61789	+	91	0
NM_001178864.1	chrV	63728	64090	+	363	0
NM_001178863.1	chrV	64709	65167	-	459	0
NM_001178862.3	chrV	65385	66797	-	1413	0
NM_001178861.1	chrV	67629	68792	-	1164	42
NM_001178859.1	chrV	69757	70257	+	501	1
NM_001178858.3	chrV	70478	73348	+	2871	2
NM_001178857.1	chrV	73771	75327	+	1557	14
NM_001178856.1	chrV	75944	77431	+	1488	0
NM_001178855.3	chrV	78053	79456	+	1404	22
NM_001178854.1	chrV	79636	79977	-	342	0
NM_001178853.1	chrV	80462	81145	+	684	6
NM_001178852.3	chrV	81407	82603	-	1197	8
NM_001178851.1	chrV	83050	84552	-	1503	12
NM_001178850.1	chrV	85045	85545	-	501	0
NM_001178849.3	chrV	85676	86149	+	474	79
NM_001178848.1	chrV	86179	86598	+	420	15
NM_001178847.1	chrV	86937	89852	+	2916	4
NM_001178846.3	chrV	90258	93905	+	3648	13
NM_001178845.1	chrV	94644	96578	+	1935	4
NM_001178844.1	chrV	96858	97796	-	939	6
NM_001348820.1	chrV	98668	99129	+	462	0
NM_001178842.3	chrV	100769	101251	+	483	21
NM_001178841.1	chrV	101943	102323	+	381	25
NM_001178840.1	chrV	102581	106147	-	3567	0
NM_001178839.3	chrV	107260	107907	+	648	25
NM_001178838.1	chrV	108504	110552	-	2049	0
NM_001178837.1	chrV	111421	115800	+	4380	2
NM_001178836.3	chrV	116167	116970	+	804	14
NM_001184349.1	chrV	117211	117474	+	264	10
NR_132166.1	chrV	117667	118035	-	369	0
NM_001178835.1	chrV	118617	120299	-	1683	2
NM_001178834.3	chrV	120498	121301	-	804	0
NM_001178833.1	chrV	121471	122310	+	840	0
NM_001180029.1	chrV	122798	122929	-	132	6
NM_001178832.3	chrV	123657	124670	+	1014	2
NM_001178831.1	chrV	124737	126218	-	1482	0
NM_001178830.1	chrV	126629	128284	+	1656	9
NM_001348821.1	chrV	128303	128608	-	306	0
NM_001178828.3	chrV	128825	130561	+	1737	4
NM_001178827.1	chrV;chrV	131772;131900	131776;132551	+;+	657	0
NM_001178826.1	chrV	133120	135234	+	2115	0
NM_001348822.1	chrV	136371	136778	-	408	0
NM_001178824.3	chrV	138918	139763	-	846	43
NM_001348823.1	chrV	140512	140892	+	381	0
NM_001178822.1	chrV	141892	143892	+	2001	3
NM_001178821.1	chrV	144327	145334	+	1008	2
NM_001178820.3	chrV	145907	146755	-	849	0
NM_001178819.1	chrV	146951	147979	+	1029	0
NM_001178818.1	chrV;chrV	148176;148283	148194;148599	+;+	336	2
NM_001178817.3	chrV	148722	150014	-	1293	10
NM_001178816.1	chrV	150301	150978	-	678	10
NM_001178892.1	chrV	153520	155808	+	2289	6
NM_001178893.3	chrV	156803	157498	+	696	12
NM_001178894.1	chrV;chrV	157736;159088	158994;159118	-;-	1290	0
NM_001178895.1	chrV	159580	160275	+	696	3
NM_001178896.3	chrV	160550	162442	+	1893	2
NM_001178897.1	chrV	162723	164285	+	1563	16
NM_001178898.1	chrV	164527	166083	+	1557	2
NM_001180857.3	chrV;chrV	166237;166875	166771;166885	-;-	546	4
NR_132167.1	chrV	167427	167586	-	160	0
NM_001178899.1	chrV	167808	171818	-	4011	4
NM_001178900.1	chrV	172115	172492	+	378	18
NM_001178901.3	chrV	172634	173338	-	705	2
NM_001178902.1	chrV	175248	176012	+	765	0
NM_001178903.1	chrV	177835	178431	+	597	11
NM_001178904.3	chrV	178841	182278	+	3438	2
NM_001178905.1	chrV	182600	184219	+	1620	1
NM_001184456.1	chrV;chrV	183731;184678	184169;184700	-;-	462	0
NM_001178906.3	chrV	184541	186775	+	2235	0
NM_001178907.1	chrV	188277	189311	+	1035	0
NM_001178908.1	chrV	189503	191788	-	2286	4
NM_001178909.3	chrV	191959	192624	-	666	0
NM_001178910.1	chrV	192797	194230	+	1434	0
NM_001180031.1	chrV	194273	194539	-	267	2
NM_001178911.3	chrV	195168	196517	+	1350	2
NM_001178912.1	chrV	196948	198519	+	1572	14
NM_001178913.1	chrV	198812	200875	+	2064	2
NM_001178914.3	chrV	201076	201936	+	861	6
NM_001178915.1	chrV	202192	204963	+	2772	0
NM_001178916.1	chrV	205251	206834	+	1584	32
NM_001178917.3	chrV	207644	208474	-	831	13
NM_001178918.1	chrV	208979	210232	-	1254	2
NM_001178919.1	chrV	210692	211876	-	1185	0
NM_001178920.3	chrV	212587	213177	-	591	2
NM_001178921.1	chrV	213437	213898	+	462	0
NM_001178922.1	chrV	214076	214747	-	672	4
NM_001178923.3	chrV	215063	217693	+	2631	0
NM_001178924.1	chrV	218057	221287	-	3231	2
NM_001178925.1	chrV	221846	222403	+	558	0
NM_001178926.3	chrV	222639	223076	+	438	2
NM_001178927.1	chrV	223367	225199	-	1833	28
NM_001178928.1	chrV	225889	226854	+	966	0
NM_001178929.3	chrV	226858	228252	-	1395	0
NM_001301348.1	chrV	228451	228831	+	381	0
NM_001178930.1	chrV	228456	229205	-	750	0
NM_001184319.1	chrV	229263	229481	-	219	0
NM_001178931.3	chrV	229795	231987	+	2193	4
NM_001178932.2	chrV	232461	234740	+	2280	2
NM_001178933.1	chrV	234937	235491	+	555	4
NM_001178934.3	chrV	235770	237119	-	1350	74
NM_001178935.1	chrV	237570	238016	-	447	10
NM_001180023.1	chrV;chrV	238460;239712	239623;239774	-;-	1227	0
NM_001178936.3	chrV	240032	241501	-	1470	16
NM_001178937.1	chrV	243180	243611	+	432	0
NM_001178938.1	chrV	243810	246503	-	2694	6
NM_001178939.3	chrV	246982	248157	-	1176	10
NM_001184330.1	chrV	250718	251002	+	285	8
NM_001178940.1	chrV	251728	253662	+	1935	12
NM_001178941.3	chrV	253971	254387	-	417	2
NM_001178942.1	chrV	254656	256134	+	1479	0
NM_001178943.1	chrV	256375	257958	-	1584	8
NM_001178944.3	chrV	258737	259639	-	903	4
NM_001184444.1	chrV	260933	261046	-	114	0
NM_001178946.3	chrV	264892	265785	-	894	21
NM_001178947.1	chrV	266512	268113	-	1602	35
NM_001180036.1	chrV;chrV	269423;270149	269751;270185	-;-	366	21
NM_001178948.3	chrV	270737	271126	-	390	6
NM_001178949.1	chrV	271768	272091	+	324	0
NM_001178950.1	chrV	272624	273886	+	1263	2
NM_001178951.3	chrV	274567	276153	+	1587	4
NM_001180858.1	chrV	276572	278164	+	1593	16
NM_001178952.2	chrV	278298	279626	-	1329	4
NM_001178953.3	chrV	279930	280682	-	753	6
NM_001178954.1	chrV	281710	282366	+	657	4
NM_001178955.1	chrV	282705	284222	-	1518	2
NM_001178956.3	chrV	285241	286914	-	1674	2
NM_001178957.1	chrV	290242	290799	+	558	0
NM_001178958.1	chrV	292066	292551	+	486	0
NM_001178959.3	chrV	293050	294813	+	1764	13
NM_001178960.1	chrV	295410	298001	+	2592	4
NM_001178961.1	chrV	298950	301616	+	2667	10
NM_001178962.3	chrV	301947	302327	-	381	2
NM_001178963.1	chrV	302806	303195	+	390	4
NM_001178964.2	chrV	304030	305592	+	1563	4
NM_001178965.3	chrV;chrV	306323;306792	306325;307196	+;+	408	56
NM_001184512.1	chrV;chrV;chrV	307653;307849;308068	307746;307956;308123	+;+;+	258	3
NM_001178966.2	chrV	308413	311199	-	2787	2
NM_001178967.3	chrV	312590	313498	-	909	2
NM_001178968.1	chrV	314534	316600	-	2067	0
NM_001178969.1	chrV	316807	318342	-	1536	0
NM_001184548.3	chrV	318646	318810	+	165	0
NM_001178970.1	chrV	318920	319552	+	633	2
NM_001178971.1	chrV	319963	321846	+	1884	4
NR_132168.1	chrV	322212	322762	+	551	0
NM_001178972.3	chrV	322686	324095	+	1410	8
NM_001178973.1	chrV	324272	325936	-	1665	8
NM_001178974.1	chrV	326174	327031	-	858	0
NM_001270744.1	chrV	327065	327451	+	387	0
NM_001178976.3	chrV	327619	328140	-	522	0
NM_001178977.1	chrV	328477	330207	+	1731	8
NM_001178978.1	chrV	330576	332306	+	1731	2
NM_001180032.3	chrV	332582	332830	-	249	3
NM_001178979.3	chrV	333176	335188	-	2013	5
NM_001178980.1	chrV	335946	337340	-	1395	8
NM_001178981.1	chrV	337949	339472	+	1524	5
NM_001178982.3	chrV	339864	342167	-	2304	60
NM_001178983.3	chrV	342855	343232	+	378	6
NM_001178984.1	chrV	343320	347612	-	4293	6
NM_001180860.1	chrV;chrV	347912;348277	348201;348400	-;-	414	0
NM_001178985.3	chrV	348729	349346	-	618	7
NM_001178986.3	chrV	349980	351182	+	1203	4
NM_001178987.1	chrV	351698	353236	+	1539	0
NM_001178989.1	chrV	355466	357730	+	2265	0
NM_001178990.3	chrV	358105	359061	-	957	2
NM_001178991.3	chrV	359562	360314	+	753	5
NM_001178992.1	chrV	360502	361794	-	1293	0
NM_001178993.1	chrV	363100	363702	+	603	32
NM_001178994.3	chrV	364589	366517	+	1929	0
NM_001178995.3	chrV	366802	367428	+	627	0
NM_001178996.1	chrV	367838	372013	-	4176	12
NM_001178997.1	chrV	372326	373234	+	909	0
NM_001178998.3	chrV	373448	374545	-	1098	6
NM_001179000.1	chrV	378762	382103	-	3342	17
NM_001179001.1	chrV	382595	385876	-	3282	2
NM_001179002.3	chrV	387232	387795	+	564	6
NM_001179003.3	chrV	387932	390052	-	2121	2
NM_001179005.1	chrV	394292	394867	-	576	2
NM_001179006.3	chrV	395348	396172	-	825	0
NM_001179007.3	chrV;chrV	396769;397282	396810;397653	+;+	414	36
NM_001179008.1	chrV	397952	399055	-	1104	3
NM_001179009.1	chrV	399496	400842	-	1347	0
NM_001179010.3	chrV	401135	401869	+	735	2
NM_001179011.3	chrV	402375	402719	+	345	0
NM_001179012.1	chrV	402871	404352	-	1482	6
NM_001179013.1	chrV	404813	406387	+	1575	2
NM_001179014.3	chrV	407342	409063	-	1722	0
NM_001179015.3	chrV	410189	412618	+	2430	16
NM_001179016.1	chrV	413394	414179	-	786	13
NM_001179017.1	chrV	414481	415554	+	1074	12
NM_001179018.3	chrV	415859	416470	+	612	4
NM_001179019.3	chrV	417281	420709	+	3429	2
NM_001179020.1	chrV	421115	422446	-	1332	2
NM_001179021.1	chrV	423952	424311	+	360	58
NR_132169.1	chrV	424698	424883	+	186	0
NM_001179022.3	chrV	425188	430449	-	5262	2
NR_132170.1	chrV	431129	431220	-	92	0
NM_001179023.3	chrV;chrV	432495;433197	432671;433958	+;+	939	6
NM_001179024.1	chrV	437267	437803	-	537	4
NM_001348826.1	chrV	437952	438344	-	393	0
NM_001179026.1	chrV	439616	440971	+	1356	7
NM_001179027.3	chrV	441373	441819	-	447	0
NR_132171.1	chrV	441987	442508	+	522	6
NM_001179028.4	chrV;chrV	443756;447723	447721;449024	-;-	5268	0
NM_001184428.1	chrV	447702	449024	-	1323	0
NM_001184332.1	chrV	449474	449578	+	105	0
NM_001179029.3	chrV	450563	451243	-	681	0
NM_001179030.3	chrV	451565	453235	+	1671	2
NM_001179031.1	chrV	453459	454919	+	1461	8
NM_001179032.1	chrV	455146	456036	-	891	0
NM_001179033.3	chrV	456319	457605	+	1287	2
NM_001179034.3	chrV	457806	460223	-	2418	2
NM_001179035.1	chrV	460526	461740	-	1215	23
NM_001348827.1	chrV	462386	462823	-	438	0
NM_001179036.1	chrV	462585	462866	+	282	0
NM_001179037.3	chrV	462968	464842	-	1875	0
NM_001179038.3	chrV	465303	466025	+	723	6
NM_001179039.1	chrV	466208	467470	-	1263	0
NM_001179040.1	chrV	468370	468816	+	447	4
NM_001179041.3	chrV	469686	472424	-	2739	12
NM_001179042.3	chrV	472657	473988	-	1332	0
NM_001179043.1	chrV	474041	474805	-	765	0
NM_001179044.1	chrV	475020	476228	+	1209	4
NM_001179045.3	chrV	476345	482848	-	6504	8
NM_001179046.3	chrV	483325	484341	-	1017	7
NM_001179047.1	chrV	484788	487193	+	2406	6
NM_001179048.1	chrV	488857	490578	-	1722	0
NM_001179049.3	chrV	491530	491958	-	429	7
NM_001179050.4	chrV;chrV	492856;496823	496821;498124	-;-	5268	0
NM_001184429.1	chrV	496802	498124	-	1323	0
NM_001179051.1	chrV	499347	500348	-	1002	2
NM_001179052.4	chrV	500630	502894	-	2265	0
NM_001179053.3	chrV	503084	503782	-	699	0
NM_001179054.1	chrV	505392	509798	+	4407	4
NM_001179055.1	chrV	510373	512106	+	1734	43
NM_001179056.3	chrV	512744	517459	+	4716	2
NM_001179057.3	chrV	518216	520771	+	2556	6
NM_001179058.1	chrV	521029	522669	-	1641	0
NM_001179060.3	chrV	525974	526651	+	678	2
NM_001179061.3	chrV	527082	529418	+	2337	6
NM_001179062.1	chrV	529530	536021	-	6492	4
NM_001179063.1	chrV	536300	538279	+	1980	2
NM_001179064.3	chrV	538434	539168	-	735	8
NM_001179065.3	chrV	539464	540363	-	900	0
NM_001184589.1	chrV	540650	540814	+	165	0
NM_001179066.1	chrV	541690	545055	+	3366	4
NM_001179067.3	chrV	545611	546414	+	804	27
NM_001179068.3	chrV	546817	548079	+	1263	20
NM_001179069.1	chrV;chrV	548421;548645	548552;549517	+;+	1005	0
NM_001179070.1	chrV	549724	550527	-	804	2
NM_001184517.3	chrV	550865	551122	-	258	0
NM_001348828.1	chrV	551473	551796	-	324	0
NM_001179072.3	chrV	552525	553259	+	735	8
NM_001179073.1	chrV	553334	553969	-	636	0
NM_001179074.1	chrV	556296	558680	-	2385	0
NM_001179075.3	chrV	559454	560365	+	912	0
NM_001179076.3	chrV	561705	562625	-	921	0
NM_001179077.1	chrV	566230	566655	+	426	0
NM_001348829.1	chrV	568040	568759	+	720	0
NM_001184633.1	chrV	569608	569907	-	300	0
NM_001179079.3	chrV	571155	571523	+	369	0
NM_001179080.3	chrV	571480	576525	+	5046	0
NM_001184590.1	chrV	575680	576162	-	483	0
NM_001181524.1	chrX	261080	262552	-	1473	0
NM_001181460.1	chrX	392404	393603	+	1200	19
NM_001181783.1	chrX	654737	655963	-	1227	8
NM_001181657.1	chrX;chrX	466;4970	4581;6130	-;-	5277	0
NM_001181656.1	chrX	8776	9138	-	363	0
NM_001181655.1	chrX	11475	16124	+	4650	0
NM_001181654.1	chrX	16767	18536	-	1770	0
NM_001181652.1	chrX	19497	21200	+	1704	0
NM_001181651.1	chrX	21973	22563	+	591	0
NM_001181650.1	chrX	23133	23729	+	597	2
NM_001181649.1	chrX	24341	26086	-	1746	0
NM_001181647.1	chrX	26887	28596	+	1710	0
NM_001181646.1	chrX	32163	33158	+	996	0
NM_001181645.1	chrX	33850	36249	-	2400	2
NM_001181643.1	chrX	36919	37734	+	816	2
NM_001181642.1	chrX	38005	39969	+	1965	4
NM_001181641.1	chrX	40194	41183	-	990	7
NM_001181640.1	chrX	41389	47433	-	6045	6
NM_001181638.1	chrX	47659	49935	-	2277	0
NM_001181639.1	chrX;chrX	50139;50412	50268;50443	-;-	162	0
NM_001181637.1	chrX	50629	53151	-	2523	2
NM_001181636.1	chrX	53341	54183	+	843	2
NM_001181634.1	chrX	54379	56178	+	1800	0
NM_001181633.1	chrX	56444	58813	-	2370	21
NM_001348846.1	chrX	59856	60182	-	327	0
NM_001181631.1	chrX	60844	63489	+	2646	6
NM_001181630.1	chrX	63805	67569	+	3765	0
NM_001181629.1	chrX	67850	68782	-	933	10
NM_001181627.1	chrX	69338	70879	+	1542	2
NM_001181626.1	chrX	71366	72574	+	1209	0
NM_001181625.1	chrX	72710	73414	-	705	2
NM_001181624.1	chrX;chrX	73787;74205	73796;74611	+;+	417	8
NM_001181623.1	chrX	74910	75302	-	393	42
NM_001181622.1	chrX;chrX	75933;76325	75938;76474	+;+	156	28
NM_001181620.1	chrX	76803	79262	-	2460	4
NM_001181619.2	chrX	80155	81915	+	1761	2
NM_001181618.1	chrX	82095	82976	-	882	0
NM_001181617.1	chrX	83448	83819	+	372	2
NM_001181616.2	chrX	84068	85336	+	1269	12
NM_001181614.1	chrX	85660	87495	+	1836	2
NM_001181613.1	chrX	87583	88560	-	978	0
NM_001181612.2	chrX	88787	89116	+	330	2
NM_001181611.1	chrX	89282	90097	-	816	2
NM_001181610.1	chrX;chrX	90786;91412	91094;91657	+;+	555	33
NM_001181609.1	chrX	92053	94530	-	2478	6
NM_001181607.1	chrX	95092	95922	+	831	14
NM_001181606.1	chrX	96161	96529	-	369	0
NM_001181605.1	chrX	97737	99467	+	1731	0
NM_001181604.2	chrX	99704	100894	-	1191	2
NM_001181603.1	chrX	101150	101779	-	630	0
NM_001181601.2	chrX	102227	104428	-	2202	2
NM_001181600.1	chrX	105014	106072	+	1059	54
NM_001181599.1	chrX	106434	106718	+	285	11
NM_001181598.1	chrX	106894	109461	-	2568	4
NM_001181597.2	chrX	109966	111159	-	1194	0
NM_001181596.1	chrX	111666	113333	-	1668	0
NM_001181595.1	chrX	113878	115629	-	1752	4
NM_001181594.1	chrX	117245	117787	+	543	2
NM_001181593.1	chrX	117962	118825	-	864	0
NM_001181592.1	chrX	120449	121690	+	1242	24
NM_001181591.1	chrX	122265	122948	-	684	10
NM_001181590.1	chrX	123836	126328	-	2493	4
NM_001181589.1	chrX	126853	128952	-	2100	2
NM_001181588.1	chrX	129285	130643	-	1359	0
NM_001181587.1	chrX	131101	133935	-	2835	4
NM_001181586.1	chrX	134332	135933	-	1602	2
NM_001181584.1	chrX	136372	136773	-	402	0
NM_001181582.1	chrX	137379	139370	+	1992	0
NR_132193.1	chrX	139566	139691	-	126	0
NR_132194.1	chrX	139761	139950	-	190	0
NM_001181581.1	chrX	140437	141138	+	702	7
NM_001181580.1	chrX	141419	142567	-	1149	1
NM_001181579.1	chrX	143292	144701	+	1410	2
NM_001181578.1	chrX	145160	146044	+	885	7
NM_001181577.1	chrX	146359	146673	+	315	2
NM_001181576.1	chrX	147101	147577	+	477	0
NM_001181574.1	chrX	147967	150390	-	2424	2
NM_001181573.1	chrX	150961	151626	+	666	10
NM_001181572.1	chrX	151713	152999	-	1287	0
NM_001181571.1	chrX	153504	154691	-	1188	37
NM_001181570.1	chrX	154985	156127	-	1143	0
NM_001184637.1	chrX	156169	156252	+	84	0
NM_001181569.1	chrX;chrX	156550;157250	156789;157273	-;-	264	44
NM_001181567.1	chrX	158188	159417	+	1230	4
NM_001184636.1	chrX	159623	159847	-	225	3
NM_001181566.1	chrX	160619	161563	+	945	10
NM_001181565.1	chrX	161914	164166	+	2253	0
NM_001181564.1	chrX	164278	165348	-	1071	4
NM_001181563.2	chrX	165723	172367	-	6645	29
NM_001181562.1	chrX	173599	177306	-	3708	2
NM_001181561.2	chrX	178097	180103	-	2007	6
NM_001184532.1	chrX	181551	181709	-	159	0
NM_001181560.1	chrX	182298	184220	-	1923	0
NM_001181559.1	chrX	184501	185424	+	924	0
NM_001181558.1	chrX	185528	186679	-	1152	6
NM_001181557.1	chrX	187126	187644	-	519	0
NM_001181556.1	chrX	188004	189440	-	1437	6
NM_001181555.1	chrX	189716	190243	+	528	10
NM_001181554.1	chrX	190374	191090	-	717	2
NM_001181551.1	chrX	191639	192298	+	660	0
